section,, AIC_NS, AIC_S16, relative_likelihood_S16, rank
91,462,13245.229298,13106.79484,1.1499014121999664E30,1
128,352,8851.050388,8786.46509,1.0580818549630748E14,2
90,334,8533.719772,8478.402842,1.0278239361947964E12,3
41,370,11262.929644,11210.945046,1.9422808474802554E11,4
308,405,3389.038894,3339.870424,4.751137533247682E10,5
212,319,3398.48359,3350.3512,2.8301906307043205E10,6
418,465,695.652882,653.757224,1.2517757748314123E9,7
358,391,609.855736,569.355314,6.230959015642116E8,8
364,383,242.554882,207.757514,3.598756427723883E7,9
409,445,692.367706,656.971206,4.85570522684847E7,10
405,454,1042.336294,1010.270732,9182233.190949313,11
312,420,3979.816098,3957.464632,71377.14506806966,12
2,124,2109.652156,2097.454512,445.332858862838,13
326,361,1834.660552,ND,ND,14
149,218,2570.225372,ND,ND,15
90,134,507.016234,ND,ND,16
356,464,2668.513528,ND,ND,17
455,472,274.165764,ND,ND,18
34,88,573.268324,ND,ND,19
459,481,483.674122,ND,ND,20
335,361,1197.346484,ND,ND,21
209,300,3135.964194,ND,ND,22
167,204,1028.101568,ND,ND,23
424,432,84.948016,ND,ND,24
12,28,114.514098,ND,ND,25
38,120,859.356796,ND,ND,26
28,304,8765.716362,ND,ND,27
122,208,3052.250552,ND,ND,28
472,500,1133.861288,ND,ND,29
29,36,108.711758,ND,ND,30
325,334,296.66962,ND,ND,31
317,326,ND,ND,-,32
473,486,335.86581,ND,ND,33
337,352,491.300626,ND,ND,34
301,446,4761.583798,ND,ND,35
325,347,986.377264,ND,ND,36
377,400,268.46227,ND,ND,37
13,40,439.581348,ND,ND,38
13,42,527.033518,ND,ND,39
1,32,524.059082,ND,ND,40
224,291,2310.40741,ND,ND,41
149,316,6325.665856,ND,ND,42
365,405,801.983082,ND,ND,43
466,477,131.778198,ND,ND,44
129,172,1525.948836,ND,ND,45
382,395,100.28891,ND,ND,46
482,497,472.141818,ND,ND,47
253,304,1750.778646,ND,ND,48
220,304,2846.458008,ND,ND,49
144,235,3535.294616,ND,ND,50
