Position,Relative_Likelihood
1,4.952765314857036E10
2,4.952765314857036E10
3,4.952765314857036E10
4,4.952765314857036E10
5,4.952765314857036E10
6,4.952765314857036E10
7,4.952765314857036E10
8,4.952765314857036E10
9,4.952765314857036E10
10,4.952765314857036E10
11,4.952765314857036E10
12,4.952765314857036E10
13,4.952765314857036E10
14,4.952765314857036E10
15,4.952765314857036E10
16,4.952765314857036E10
17,4.952765314857036E10
18,4.952765314857036E10
19,4.952765314857036E10
20,4.952765314857036E10
21,4.952765314857036E10
22,4.952765314857036E10
23,4.952765314857036E10
24,4.952765314857036E10
25,4.952765314857036E10
26,4.952765314857036E10
27,4.952765314857036E10
28,4.952765314857036E10
29,4.952765314857036E10
30,4.952765314857036E10
31,4.952765314857036E10
32,4.952765314857036E10
33,4.952765314857036E10
34,4.952765314857036E10
35,4.952765314857036E10
36,4.952765314857036E10
37,4.952765314857036E10
38,5.466877459519331E15
39,5.466877459519331E15
40,5.466877459519331E15
41,5.466877459519331E15
42,5.466877459519331E15
43,5.466877459519331E15
44,5.466877459519331E15
45,5.466877459519331E15
46,5.466877459519331E15
47,5.466877459519331E15
48,5.466877459519331E15
49,5.466877459519331E15
50,5.466877459519331E15
51,5.466877459519331E15
52,5.466877459519331E15
53,5.466877459519331E15
54,5.466877459519331E15
55,5.466877459519331E15
56,5.466877459519331E15
57,5.466877459519331E15
58,5.466877459519331E15
59,5.466877459519331E15
60,5.466877459519331E15
61,5.466877459519331E15
62,5.466877459519331E15
63,5.466877459519331E15
64,5.466877459519331E15
65,5.466877459519331E15
66,5.466877459519331E15
67,5.466877459519331E15
68,5.466877459519331E15
69,5.466877459519331E15
70,5.466877459519331E15
71,5.466877459519331E15
72,5.466877459519331E15
73,9.0070671861317984E16
74,9.0070671861317984E16
75,9.0070671861317984E16
76,9.0070671861317984E16
77,9.0070671861317984E16
78,9.0070671861317984E16
79,9.0070671861317984E16
80,9.0070671861317984E16
81,9.0070671861317984E16
82,9.0070671861317984E16
83,9.0070671861317984E16
84,9.0070671861317984E16
85,9.0070671861317984E16
86,9.0070671861317984E16
87,9.0070671861317984E16
88,9.0070671861317984E16
89,9.0070671861317984E16
90,9.0070671861317984E16
91,9.0070671861317984E16
92,9.0070671861317984E16
93,9.0070671861317984E16
94,9.0070671861317984E16
95,9.0070671861317984E16
96,9.0070671861317984E16
97,9.0070671861317984E16
98,9.0070671861317984E16
99,9.0070671861317984E16
100,9.0070671861317984E16
101,9.0070671861317984E16
102,9.0070671861317984E16
103,9.0070671861317984E16
104,9.0070671861317984E16
105,9.0070671861317984E16
106,9.0070671861317984E16
107,9.0070671861317984E16
108,9.0070671861317984E16
109,9.0070671861317984E16
110,9.0070671861317984E16
111,9.0070671861317984E16
112,9.0070671861317984E16
113,9.0070671861317984E16
114,9.0070671861317984E16
115,9.0070671861317984E16
116,9.0070671861317984E16
117,9.0070671861317984E16
118,9.0070671861317984E16
119,9.0070671861317984E16
120,9.0070671861317984E16
121,9.0070671861317984E16
122,9.0070671861317984E16
123,9.0070671861317984E16
124,9.0070671861317984E16
125,9.0070671861317984E16
126,9.0070671861317984E16
127,9.0070671861317984E16
128,9.0070671861317984E16
129,9.0070671861317984E16
130,9.0070671861317984E16
131,9.0070671861317984E16
132,9.0070671861317984E16
133,9.0070671861317984E16
134,9.0070671861317984E16
135,9.0070671861317984E16
136,9.0070671861317984E16
137,9.0070671861317984E16
138,9.0070671861317984E16
139,9.0070671861317984E16
140,9.0070671861317984E16
141,9.0070671861317984E16
142,9.0070671861317984E16
143,9.0070671861317984E16
144,9.0070671861317984E16
145,9.0070671861317984E16
146,9.0070671861317984E16
147,9.0070671861317984E16
148,9.0070671861317984E16
149,9.0070671861317984E16
150,9.0070671861317984E16
151,2.05302931924061056E17
152,2.05302931924061056E17
153,2.05302931924061056E17
154,2.05302931924061056E17
155,2.05302931924061056E17
156,2.225663027544503E23
157,2.225663027544503E23
158,2.225663027544503E23
159,2.225663027544503E23
160,2.225663027544503E23
161,2.225663027544503E23
162,2.225663027544503E23
163,2.225663027544503E23
164,2.225663027544503E23
165,2.225663027544503E23
166,2.225663027544503E23
167,2.225663027544503E23
168,2.225663027544503E23
169,2.225663027544503E23
170,2.225663027544503E23
171,2.225663027544503E23
172,2.225663027544503E23
173,2.225663027544503E23
174,2.225663027544503E23
175,2.225663027544503E23
176,2.225663027544503E23
177,2.225663027544503E23
178,2.225663027544503E23
179,2.225663027544503E23
180,2.225663027544503E23
181,2.225663027544503E23
182,2.225663027544503E23
183,2.225663027544503E23
184,2.225663027544503E23
185,2.225663027544503E23
186,2.225663027544503E23
187,2.225663027544503E23
188,2.225663027544503E23
189,2.225663027544503E23
190,2.225663027544503E23
191,2.225663027544503E23
192,2.225663027544503E23
193,2.225663027544503E23
194,2.225663027544503E23
195,2.225663027544503E23
196,2.225663027544503E23
197,2.225663027544503E23
198,2.225663027544503E23
199,2.225663027544503E23
200,2.225663027544503E23
201,2.225663027544503E23
202,2.225663027544503E23
203,2.225663027544503E23
204,2.225663027544503E23
205,2.225663027544503E23
206,2.225663027544503E23
207,2.225663027544503E23
208,2.225663027544503E23
209,2.225663027544503E23
210,2.225663027544503E23
211,2.225663027544503E23
212,2.225663027544503E23
213,2.225663027544503E23
214,2.225663027544503E23
215,2.225663027544503E23
216,2.225663027544503E23
217,2.225663027544503E23
218,2.225663027544503E23
219,2.225663027544503E23
220,2.225663027544503E23
221,2.225663027544503E23
222,2.225663027544503E23
223,2.225663027544503E23
224,2.225663027544503E23
225,2.225663027544503E23
226,2.225663027544503E23
227,2.225663027544503E23
228,2.225663027544503E23
229,2.225663027544503E23
230,2.225663027544503E23
231,2.225663027544503E23
232,2.225663027544503E23
233,2.225663027544503E23
234,2.225663027544503E23
235,2.225663027544503E23
236,2.225663027544503E23
237,2.225663027544503E23
238,2.225663027544503E23
239,2.225663027544503E23
240,2.225663027544503E23
241,2.225663027544503E23
242,2.225663027544503E23
243,2.225663027544503E23
244,2.225663027544503E23
245,2.225663027544503E23
246,2.225663027544503E23
247,2.225663027544503E23
