section,, AIC_NS, AIC_S16, relative_likelihood_S16, rank
55,433,15032.294822,14933.048696,3.556496912723223E21,1
214,496,12811.6899,12732.07987,1.93686060818369664E17,2
28,419,15740.570842,15661.60234,1.40537534855172784E17,3
123,422,12041.954332,11971.488968,2.0015174244116315E15,4
58,342,9690.97505,9633.374492,3.2196024334813184E12,5
3,159,5316.148252,5268.123918,2.681338392523718E10,6
357,459,4689.77928,4652.184038,1.4578172110070142E8,7
214,374,6879.632288,6847.303372,1.047453886113121E7,8
243,347,3747.433326,3718.623052,1803314.6470113774,9
256,313,1787.255352,1762.651282,220143.52522306552,10
294,325,1237.149672,ND,ND,11
107,173,1199.386704,ND,ND,12
314,353,1325.690084,ND,ND,13
351,361,356.498428,ND,ND,14
281,293,264.19944599999997,ND,ND,15
449,461,282.120066,ND,ND,16
75,88,234.807266,ND,ND,17
106,216,2767.574494,ND,ND,18
105,120,174.574294,ND,ND,19
224,276,1602.09521,ND,ND,20
81,104,533.217974,ND,ND,21
5,30,948.612622,ND,ND,22
425,454,512.274272,ND,ND,23
41,71,852.17247,ND,ND,24
275,371,4105.370928,ND,ND,25
259,295,823.889324,ND,ND,26
422,491,2495.927912,ND,ND,27
343,382,1985.882678,ND,ND,28
202,212,328.420966,ND,ND,29
384,395,338.343366,ND,ND,30
2,14,361.993,ND,ND,31
404,416,350.58213,ND,ND,32
486,498,430.704368,ND,ND,33
66,78,212.566954,ND,ND,34
32,45,323.676666,ND,ND,35
18,31,423.752042,ND,ND,36
2,17,472.102586,ND,ND,37
196,212,525.971464,ND,ND,38
165,213,1338.794606,ND,ND,39
1,50,1985.122754,ND,ND,40
309,358,1940.306934,ND,ND,41
82,103,452.26383,ND,ND,42
219,274,1679.657582,ND,ND,43
2,26,851.517832,ND,ND,44
372,400,1294.537346,ND,ND,45
