section,, AIC_NS, AIC_S16, relative_likelihood_S16, rank
115,189,3469.697392,3401.644406,5.991259745325626E14,1
352,385,1138.179148,1074.030934,8.503695137386017E13,2
261,349,4590.217932,4525.733544,1.0060207503781762E14,3
39,73,1345.885972,1287.300114,5.269354577927156E12,4
377,403,613.053938,558.684024,6.401427274004805E11,5
628,852,13460.047834,13406.145808,5.066128807153608E11,6
105,133,1529.290812,1486.915138,1.5913316207492864E9,7
918,965,955.233866,915.335134,4.612109091881665E8,8
30,87,2634.248702,2597.930004,7.700254259599705E7,9
398,449,1559.321088,1527.192472,9476333.141640257,10
195,246,1518.02929,1487.581248,4089858.782840315,11
359,410,1623.953242,1594.278176,2778809.0650137695,12
55,81,644.34736,617.008662,864018.1029023863,13
26,82,2686.405016,2662.494474,155635.3422160944,14
198,209,161.368668,140.934474,27367.1043514953,15
187,214,669.477726,647.90713,48305.3693437773,16
355,383,839.836938,824.058352,2668.5565840770155,17
19,123,5663.20251,5648.826716,1323.3173409295923,18
165,182,468.29837,461.055874,37.384194195500136,19
74,107,1157.531662,ND,ND,20
858,891,864.729102,ND,ND,21
850,883,1302.819334,ND,ND,22
384,483,3430.814268,ND,ND,23
649,718,3792.406898,ND,ND,24
180,410,12709.009522,ND,ND,25
723,730,191.174498,ND,ND,26
531,540,226.447388,ND,ND,27
483,492,256.044032,ND,ND,28
247,385,8560.516976,ND,ND,29
915,926,193.520316,ND,ND,30
835,846,375.02126,ND,ND,31
411,422,233.504328,ND,ND,32
147,426,15370.52806,ND,ND,33
313,664,15487.969808,ND,ND,34
491,530,891.0527,ND,ND,35
924,932,78.948386,ND,ND,36
108,124,486.130078,ND,ND,37
324,340,759.840574,ND,ND,38
538,620,1309.844486,ND,ND,39
298,383,3933.68697,ND,ND,40
483,540,2219.09238,ND,ND,41
731,789,2620.085932,ND,ND,42
105,240,6613.643326,ND,ND,43
173,182,231.306568,ND,ND,44
784,955,8984.4908,ND,ND,45
236,279,2940.984966,ND,ND,46
365,376,212.617938,ND,ND,47
957,970,194.918522,ND,ND,48
973,988,774.378124,ND,ND,49
837,852,631.824286,ND,ND,50
484,540,2211.332258,ND,ND,51
550,801,12145.560988,ND,ND,52
724,791,3574.92364,ND,ND,53
990,999,217.583576,ND,ND,54
294,304,270.30908,ND,ND,55
803,910,5640.735112,ND,ND,56
966,977,153.33186,ND,ND,57
150,162,224.754348,ND,ND,58
910,922,360.944922,ND,ND,59
621,665,2130.343252,ND,ND,60
894,909,469.330104,ND,ND,61
429,482,1205.057512,ND,ND,62
494,515,423.11529,ND,ND,63
126,148,696.84341,ND,ND,64
205,259,2603.507872,ND,ND,65
97,281,11018.83571,ND,ND,66
926,959,563.130986,ND,ND,67
126,159,1020.837368,ND,ND,68
667,804,7462.858662,ND,ND,69
823,833,284.47386,ND,ND,70
653,727,4179.553526,ND,ND,71
541,615,877.997988,ND,ND,72
127,138,394.996056,ND,ND,73
590,634,773.755988,ND,ND,74
294,340,2104.8271,ND,ND,75
392,632,8680.680558,ND,ND,76
855,873,726.991408,ND,ND,77
695,718,981.43553,ND,ND,78
86,397,18398.029224,ND,ND,79
863,907,1267.597748,ND,ND,80
272,285,431.801198,ND,ND,81
541,915,19646.425274,ND,ND,82
344,370,851.601342,ND,ND,83
248,275,1938.75802,ND,ND,84
817,826,ND,ND,-,85
825,834,337.301748,ND,ND,86
25,35,166.32363,ND,ND,87
488,532,1349.346482,ND,ND,88
185,198,274.926608,ND,ND,89
465,481,220.39129,ND,ND,90
109,258,8603.712852,ND,ND,91
744,804,3202.199762,ND,ND,92
25,53,1193.0422,ND,ND,93
424,485,1549.334676,ND,ND,94
170,177,75.536404,ND,ND,95
265,312,2566.630322,ND,ND,96
178,198,766.359468,ND,ND,97
874,897,315.92253,ND,ND,98
210,234,263.274378,ND,ND,99
