section,, AIC_NS, AIC_S16, relative_likelihood_S16, rank
88,119,2488.893524,ND,ND,1
48,87,2303.411218,ND,ND,2
29,38,516.1138599999999,ND,ND,3
41,56,462.106284,ND,ND,4
161,180,340.567112,ND,ND,5
4,184,14788.048032,ND,ND,6
71,91,908.569116,ND,ND,7
20,79,4323.625316,ND,ND,8
89,123,2540.88932,ND,ND,9
26,157,10594.415186,ND,ND,10
83,126,3086.520602,ND,ND,11
12,24,770.758258,ND,ND,12
27,136,8804.216542,ND,ND,13
9,182,13845.271112,ND,ND,14
26,40,735.068244,ND,ND,15
52,130,6204.067802,ND,ND,16
30,45,792.788698,ND,ND,17
52,68,787.872944,ND,ND,18
129,177,2000.487632,ND,ND,19
1,179,14299.651546,ND,ND,20
8,27,1242.049038,ND,ND,21
10,158,12456.715036,ND,ND,22
130,152,759.743536,ND,ND,23
1,183,14871.779816,ND,ND,24
58,83,1370.3374,ND,ND,25
58,85,1390.165944,ND,ND,26
45,106,4644.939408,ND,ND,27
